id,brand,uri,name,price,category
951150,Saniito,https://www.metro.pe/tortillas-de-maiz-saniito-8un-935132/p,Tortillas de Maíz Saniito 8un,10.9,https://www.metro.pe/panaderia-y-pasteleria/la-panaderia/bocaditos-salados
979441,Cuisine & Co,https://www.metro.pe/barquillo-para-helados-cuisine-co-12un-976061/p,Barquillo para Helados Cuisine & Co 12un,5.2,https://www.metro.pe/abarrotes/reposteria/ingredientes-y-complementos-de-decoracion
962195,Baileys,https://www.metro.pe/crema-de-licor-salted-caramel-baileys-botella-750-ml-crema-de-avellanas-nutella-frasco-200-g-936808-2/p,Crema de Licor Salted Caramel Baileys Botella 750 ml + Crema de Avellanas Nutella Frasco 200 g,101.8,https://www.metro.pe/cervezas-vinos-y-licores/licores/digestivo-y-pousse
1017130,Dr Browns,https://www.metro.pe/cepillo-de-limpieza-dr-browns-estandar-colores-surtidos-980368/p,Cepillo de Limpieza Dr. Brown's Estándar Colores Surtidos,39.9,https://www.metro.pe/ninos-y-bebes/mundo-bebe/biberones-y-accesorios
16795,Imaco,https://www.metro.pe/imaco-olla-arrocera-rc42-4-2-l-16795/p,Imaco Olla Arrocera RC42 4.2 L,399.0,https://www.metro.pe/electrohogar/electrodomesticos/ollas-arroceras
978959,Spa,https://www.metro.pe/tripack-jabon-spa-premium-radiante-115g-975691/p,Tripack Jabón Spa Premium Radiante 115g,7.3,https://www.metro.pe/higiene-salud-y-belleza/cuidado-personal/jabon-en-barra
959163,Ecofresh,https://www.metro.pe/nectar-de-naranja-con-zanahoria-bajo-en-calorias-ecofresh-botella-1l-940940/p,Néctar de Naranja con Zanahoria Bajo en Calorías Ecofresh Botella 1L,11.5,https://www.metro.pe/frutas-y-verduras/frutas/jugos-naturales
954188,Huggies,https://www.metro.pe/panales-huggies-triple-proteccion-xxg-68un-950915003/p,Pañales Huggies Triple Protección XXG 68un,64.9,https://www.metro.pe/ninos-y-bebes/panales-y-toallitas-humedas/panales
562872,Casa Europa,https://www.metro.pe/chorizo-parrillero-crudo-casa-europa-paquete-500-g/p,Chorizo Parrillero Crudo Casa Europa Paquete 500 g,20.1,https://www.metro.pe/embutidos-y-fiambres/embutidos/chorizos
36724,Dove,https://www.metro.pe/shampoo-dove-hidratacion-intensa-400ml-719194002/p,Shampoo Dove Hidratación Intensa 400ml,17.9,https://www.metro.pe/higiene-salud-y-belleza/cuidado-del-cabello/shampoo
