id,brand,uri,name,price,category
8308,Universal,https://www.metro.pe/gelatina-universal-de-limon-sobre-150-g-396035005/p,Gelatina Universal de Limón Sobre 150 g,3.75,https://www.metro.pe/abarrotes/reposteria/gelatinas-y-mazamorras
16037,Deli Freeze,https://www.metro.pe/gyoza-deli-frezze-12un-457740/p,Gyoza Deli Frezze 12un,15.5,https://www.metro.pe/congelados/masas-y-bocaditos/bocaditos-congelados
10100,Kotex,https://www.metro.pe/toallas-higienica-kotex-nocturna-30un-547902/p,Toallas Higienica Kotex Nocturna 30un,16.9,https://www.metro.pe/higiene-salud-y-belleza/cuidado-femenino/toallas-higienicas
936,Bolívar,https://www.metro.pe/suavizante-bolivar-aroma-activo-floral-2-8l-474487/p,Suavizante Bolívar Aroma Activo Floral 2.8L,25.0,https://www.metro.pe/limpieza/cuidado-de-ropa/suavizantes
33416,Braedt,https://www.metro.pe/jamon-de-pavita-braedt-balance-paquete-200-g-714136-2/p,Jamón de Pavita Braedt Balance Paquete 200 g,11.8,https://www.metro.pe/embutidos-y-fiambres/fiambres/jamones
3539,La Bonne Vache,https://www.metro.pe/queso-triangulo-la-bonne-vache-140-g-27806/p,Queso Crema Fundido La Bonne Vache Caja 140 gr,12.65,https://www.metro.pe/lacteos/la-queseria/quesos-blandos-y-cremosos
969209,Sin Marca,https://www.metro.pe/torta-naked-de-chocolate-petit-6-porciones-964106-2/p,Torta Naked de Chocolate Petit 6 Porciones,23.9,https://www.metro.pe/panaderia-y-pasteleria/pasteleria/tortas-de-la-casa
16145,Coca Cola,https://www.metro.pe/gaseosa-coca-cola-sin-azucar-botella-500ml-pack-6un-535860/p,Gaseosa Coca Cola Sin Azúcar Botella 500ml Pack 6un,13.5,https://www.metro.pe/aguas-y-bebidas/gaseosas/gaseosas-light-y-zero
935857,Poett,https://www.metro.pe/limpiador-poett-alegra-tu-dia-1-8l-787594/p,Limpiador Poett Alegra tu Día 1.8L,8.7,https://www.metro.pe/limpieza/cuidado-del-hogar/desinfectantes-y-limpiadores-para-pisos
974563,Nuby,https://www.metro.pe/nuby-anillo-refriger-mano-o-pie-973487/p,Nuby Anillo Refriger Mano o Pie,16.9,https://www.metro.pe/ninos-y-bebes/mundo-bebe/estimulacion-y-desarrollo
968235,Infanti,https://www.metro.pe/soporte-de-bano-infanti-flexi-azul-963047/p,Soporte de Baño Infanti Flexi Azul,139.0,https://www.metro.pe/ninos-y-bebes/mundo-bebe/bano-del-bebe
28248,Cuisine & Co,https://www.metro.pe/spaguetti-nro-5-cuisine-co-500g/p,Spaguetti Nro 5 Cuisine & Co 500g,3.9,https://www.metro.pe/abarrotes/fideos-pastas-y-salsas/fideos-largos
33787,Metro,https://www.metro.pe/torta-de-chantilly-cuisine-co-20-porciones-63133/p,Torta de Chantilly Cuisine & Co 20 Porciones,67.9,https://www.metro.pe/panaderia-y-pasteleria/pasteleria/tortas-de-la-casa
941367,Nosotras,https://www.metro.pe/jabon-intimo-nosotras-hidratante-v-agua-de-rosas-200ml-925625/p,Jabón Intimo Nosotras Hidratante-V Agua de Rosas 200ml,22.9,https://www.metro.pe/higiene-salud-y-belleza/cuidado-femenino/higiene-femenina
941109,Garnier,https://www.metro.pe/mascara-tela-ojos-garnier-orange-784448-2/p,Mascarilla en Tela para Ojos Hidra Bomb Jugo de Naranja Sachet 1 Pieza,11.5,https://www.metro.pe/higiene-salud-y-belleza/cuidado-facial-y-corporal/cremas-faciales
2834,.,https://www.metro.pe/zapallo-loche-x-kg-4051/p,Zapallo Loche x kg,17.99,https://www.metro.pe/frutas-y-verduras/verduras/verduras-para-sopa-y-ensalada
958829,Johnson's Baby,https://www.metro.pe/pack-x3-jabon-johnsons-baby-libre-de-germenes-110g-772429004/p,Pack x3 Jabón Johnson's Baby Libre de Gérmenes 110g,14.9,https://www.metro.pe/ninos-y-bebes/aseo-y-cuidado-del-bebe/jabones-para-bebes
568349,Misturapan,https://www.metro.pe/pan-de-molde-multigranos-misturapan-bolsa-390-g-787653/p,Pan de Molde Multigranos Misturapan Bolsa 390 g,11.59,https://www.metro.pe/panaderia-y-pasteleria/la-panaderia/panes-embolsados
111,Britvic,https://www.metro.pe/pack-x4-agua-tonica-britvic-lata-150ml-386934/p,Pack x4 Agua Tónica Britvic Lata 150ml,17.9,https://www.metro.pe/aguas-y-bebidas/aguas/agua-tonica
554213,San Pellegrino,https://www.metro.pe/agua-san-pellegrino-essenza-mandarina-y-fresa-lata-300-ml/p,Agua San Pellegrino Essenza Mandarina y Fresa Lata 300 ml,6.9,https://www.metro.pe/aguas-y-bebidas/aguas/agua-tonica
958961,Glade,https://www.metro.pe/aromatizador-glade-automatico-forbidden-berries-270ml-943206/p,Aromatizador Glade Automático Forbidden Berries 270ml,35.7,https://www.metro.pe/limpieza/aerosoles/ambientadores-y-aromatizadores
86,Cielo,https://www.metro.pe/sixpack-agua-sin-gas-cielo-25l-336152/p,Sixpack Agua Sin Gas Cielo 2.5L,13.5,https://www.metro.pe/aguas-y-bebidas/aguas/agua-sin-gas
563592,Clight,https://www.metro.pe/refresco-instantaneo-pina-clight-sobre-doble-14-g/p,Refresco Instantáneo Piña Clight Sobre Doble 14 g,2.09,https://www.metro.pe/aguas-y-bebidas/jugos-y-otras-bebidas/refrescos-preparados-e-instantaneos
966904,Gloria,https://www.metro.pe/yogurt-batido-con-miel-gloria-griego-800g-961519-2/p,Yogurt Batido con Miel Gloria Griego 800g,7.5,https://www.metro.pe/lacteos/yogures/yogurt-bebible
12752,Peter Pan,https://www.metro.pe/mantequilla-de-mani-peter-pan-creamy-frasco-16-3-onzas-148663001/p,Mantequilla de Maní Peter Pan Creamy Frasco 16.3 Onzas,29.6,https://www.metro.pe/lacteos/mantequillas-y-margarinas/mantequillas
37890,Forno de Minas,https://www.metro.pe/waffle-tradicional-congelado-forno-de-minas-6un-717734/p,Waffle Tradicional Congelado Forno de Minas 6un,11.9,https://www.metro.pe/panaderia-y-pasteleria/la-panaderia/panes-congelados
1435,McColins,https://www.metro.pe/infusion-de-manzanilla-mccolins-25un-4647/p,Infusión de Manzanilla McColins 25un,4.1,https://www.metro.pe/desayuno/cafe-e-infusiones/infusiones-en-filtrantes-y-en-hoja
947807,Nuk,https://www.metro.pe/vaso-de-entrenamiento-nuk-action-cup-230ml-morado-897651/p,Vaso de Entrenamiento Nuk Action Cup 230ml Morado,60.4,https://www.metro.pe/ninos-y-bebes/mundo-bebe/menaje-infantil
949845,Yo-Yo,https://www.metro.pe/marshmellow-chocolate-bolsa-60-unid-950392/p,Marshmellow Chocolate Bolsa 60 unid,10.5,https://www.metro.pe/abarrotes/galletas-snacks-y-golosinas/marshmellows-gomas-y-chicles
