sku,name,brand,category,uri,price
4156,Chuño UNIVERSAL Bolsa 180g,UNIVERSAL,https://www.plazavea.com.pe/panaderia-y-pasteleria,https://www.plazavea.com.pe/chuno-universal-bolsa-180g/p,3.3
11389739,Set Biberones de Vidrio 5oz x2un DR. BROWN'S,DR. BROWN´S,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/set-biberones-de-vidrio-5oz-x2un-dr-browns/p,129.9
6383,Vino Tinto LAN Rioja Edición Limitada Botella 750ml,LAN,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/vino-lan-rioja-edicion-limitada-botella-750ml/p,335.0
10551923,Batea Sudamericana Bañador Nro 90 azul,SUDAMERICANA PLÁSTICOS,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/batea-sudamericana-banador-nro-90-azul-100391519/p,34.5
12417,Trapeador VIRUTEX Repuesto de Algodón,VIRUTEX,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/trapeador-virutex-repuesto-de-algodon/p,13.9
10292134,Jalador de agua 55cm + Mango de aluminio Ebriel,EBRIEL,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/jalador-de-agua-55cm-mango-de-aluminio-ebriel-100177871/p,49.9
11434706,Acondicionador SKALA Crespinho Divino Kids Frasco 325ml PV,SKALA,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/acondicionador-skala-crespinho-divino-kids-frasco-325ml-pv/p,29.9
42997,Bolitas de Colores BELL'S Bolsa 120g,BELL'S,https://www.plazavea.com.pe/desayunos,https://www.plazavea.com.pe/bolitas-de-colores-bells-bolsa-120g/p,2.8
10283234,Ensalada Fusilli LA FLORENCIA 400g,LA FLORENCIA,https://www.plazavea.com.pe/pollo-rostizado-y-comidas-preparadas,https://www.plazavea.com.pe/ensalada-fusilli-500g/p,10.9
11425555,Suavizante Libre Enjuague BOREAL Lavanda Botella 1.8L,BOREAL,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/suavizante-libre-enjuague-boreal-lavanda-botella-1-8l/p,14.5
10053608,Jabon Liquido PALMOLIVE Manzana Doypack 800ml,PALMOLIVE,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/jabon-liquido-palmolive-manzana-doypack-800ml/p,14.9
11237294,Shampoo DOVE Regeneración Extrema Frasco 370ml,DOVE,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/shampoo-dove-regeneracion-extrema-frasco-370ml/p,15.9
81534,Canela Molida 4 ESTACIONES Frasco 24g,4 ESTACIONES,https://www.plazavea.com.pe/panaderia-y-pasteleria,https://www.plazavea.com.pe/canela-molida-4-estaciones-frasco-24g/p,6.6
13790,Papaya,PLAZA VEA,https://www.plazavea.com.pe/frutas-y-verduras,https://www.plazavea.com.pe/papaya/p,2.89
5467,Gaseosa GUARANÁ Botella 1L,GUARANÁ,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/gaseosa-guarana-botella-1l/p,3.49
11138287,Paño para Piso SCOTCH BRITE Pack 3un,SCOTCH BRITE,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/pano-para-piso-scotch-brite-pack-3un/p,25.9
11072290,Mini Tacho de Basura para Auto Rosado,GENÉRICO,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/mini-tacho-de-basura-para-auto-rosado-100797214/p,14.9
11401450,LAB nutrition Proteina 100% hidrolizada Cookies & Cream 2336g,LAB NUTRITION,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/lab-nutrition-proteina-100-hidrolizada-cookies-cream-2336g-101033030/p,374.9
12732,Escoba VIRUTEX Poderosa + Recogedor,VIRUTEX,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/escoba-virutex-poderosa-recogedor/p,19.9
10529,Cera EMPERATRIZ Líquida Roja Sachet 300 ml,EMPERATRIZ,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/cera-liquida-emperatriz-roja-doypack-300ml/p,10.1
