sku,name,brand,category,uri,price
4049,Turrón SAN JOSE de Doña Pepa Caja 1Kg,SAN JOSE,https://www.plazavea.com.pe/panaderia-y-pasteleria,https://www.plazavea.com.pe/turron-san-jose-de-dona-pepa-caja-1kg/p,33.9
11333330,Bañera Tina de Baño Plegable Ballenita Con Termómetro Rosado,GENÉRICO,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/banera-tina-de-bano-plegable-ballenita-con-termometro-rosado-100964462/p,159.0
11280980,Bicicleta Triciclo 3en1 Trimily AM Y Casco Niños ALT C15,SASHIJA,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/bicicleta-triciclo-3en1-trimily-am-y-casco-niños-alt-c15-100921928/p,369.9
10290632,Coche Multifuncional INFANTI Smart Walk Grey,INFANTI,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/coche-multifuncional-infanti-smart-walk-grey/p,1274.2
10587204,Quiche de Poro y Queso HOME CHEF Caja 1un,HOME CHEF,https://www.plazavea.com.pe/pollo-rostizado-y-comidas-preparadas,https://www.plazavea.com.pe/quiche-de-poro-y-queso-home-chef-caja-1un/p,27.9
11213601,Carbón Activado Energy Green x 100 cápsulas,ENERGY GREEN,https://www.plazavea.com.pe/mercado-saludable,https://www.plazavea.com.pe/carbon-activado-energy-green-x-100-capsulas-100866332/p,41.0
11314461,Coche Maleta Ebaby Kalan  EB191 Azúl,EBABY,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/coche-maleta-ebaby-kalan-eb191-azul-100955294/p,249.0
10051480,Pepinillos ASPERIO Sabor Anchoa Frasco 370g,ASPERIO,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/pepinillos-asperio-sabor-anchoa-frasco-370g/p,9.5
10020907,Passata de Tomate MUTTI Frasco 400g,MUTTI,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/passata-de-tomate-mutti-frasco-400g/p,11.4
11331430,Bebida FRUGOS Piña y Mandarina Caja 1L,FRUGOS,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/bebida-frugos-pina-y-mandarina-caja-1l/p,4.5
11274242,Lavavajilla Líquida ETERNA 100% Bio Botella 500ml + Esponja,ETERNA,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/lavavajilla-liquida-eterna-100-bio-botella-500mlesponja/p,8.5
740,Aceite Vegetal BELL'S Botella 900ml,BELL'S,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/aceite-vegetal-bells-botella-900ml/p,5.8
26931,Granola BELL'S Chocolate Caja 400g,BELL'S,https://www.plazavea.com.pe/desayunos,https://www.plazavea.com.pe/granola-bells-chocolate-caja-400g/p,11.9
74077,Avena con Chocolate SANTA CATALINA Bolsa 150g,SANTA CATALINA,https://www.plazavea.com.pe/desayunos,https://www.plazavea.com.pe/avena-con-chocolate-santa-catalina-bolsa-150g/p,4.99
43812,Cocktail de Nueces VILLA NATURA Bolsa 250g,VILLA NATURA,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/cocktail-de-nueces-villa-natura-bolsa-250g/p,13.9
11228,Pañales para Bebé HUGGIES Active Sec Talla P Paquete 60un,HUGGIES,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/panales-para-bebe-huggies-active-sec-talla-p-paquete-60un/p,35.5
8490,Queso Camembert PRESIDENT Paquete 125g,PRÉSIDENT,https://www.plazavea.com.pe/quesos-y-fiambres,https://www.plazavea.com.pe/queso-camembert-president-paquete-125g/p,25.9
10016104,Pre Mezcla para Chocochips QAYA Caja 450g,QAYA,https://www.plazavea.com.pe/panaderia-y-pasteleria,https://www.plazavea.com.pe/pre-mezcla-para-chocochips-qaya-caja-450g/p,23.0
10748644,Cepillo para platos con dispensador de jabón con soporte bandeja de goteo Easy&home,EASY&HOME,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/cepillo-para-platos-con-dispensador-de-jabon-con-soporte-bandeja-de-goteo-c-100521977/p,9.9
10083540,Mezcla en Polvo para Helado Diet UNIVERSAL Fresa Caja 50g,UNIVERSAL,https://www.plazavea.com.pe/panaderia-y-pasteleria,https://www.plazavea.com.pe/mezcla-en-polvo-para-helado-diet-universal-fresa-caja-50g/p,4.99
10083572,Quinua Barquillos Bandeja 8un,PLAZA VEA,https://www.plazavea.com.pe/panaderia-y-pasteleria,https://www.plazavea.com.pe/quinua-barquillos-bandeja-8un/p,9.9
90165,Huevo de Pascua LA IBÉRICA Caja 6un,LA IBERICA,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/huevo-de-pascua-la-iberica-caja-6un/p,39.5
10037904,Sal De Maras Oli21 Sabor Mix De Ajíes 135g,OLI21,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/sal-de-maras-saborizada-mix-de-ajies-135g-99945810/p,9.5
11345420,Juguete Cachorrito Tito Aprende a Andar,VTECH,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/juguete-cachorrito-tito-aprende-a-andar-100976529/p,229.0
11217646,Compota de Fruta BELL'S Manzana Frasco 113g,BELL'S,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/compota-de-fruta-bells-manzana-frasco-113g/p,2.5
10607607,Combo Dispensador de Jabón para Lavavajillas + Filtro de Silicona para Lavadero,GENÉRICO,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/combo-dispensador-de-jabon-para-lavavajillas-filtro-de-silicona-para-lavadero-100421898/p,14.9
11282009,Triptófano Dinoa Cápsulas 90,DINOA S.A.C.,https://www.plazavea.com.pe/mercado-saludable,https://www.plazavea.com.pe/triptofano-dinoa-capsulas-90-100922957/p,45.0
11268411,Orégano Molido BELL'S Paquete 6un,BELL'S,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/oregano-molido-bells-paquete-6un/p,1.8
11129469,Yogurt Bebible LAIVE Bio Natural Botella 946g,LAIVE,https://www.plazavea.com.pe/lacteos-y-huevos,https://www.plazavea.com.pe/yogurt-bebible-laive-bio-natural-botella-946g/p,6.89
10775119,Filete de Atún FLORIDA en Aceite Girasol Lata 140g,FLORIDA,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/filete-de-atun-florida-en-aceite-girasol-lata-140g/p,5.8
10256501,Reproductor de Musica BABY EINSTEIN,BABY EINSTEIN,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/reproductor-de-musica-baby-einstein/p,59.0
10907382,Aguaje Dinoa Cápsulas 100,DINOA S.A.C.,https://www.plazavea.com.pe/mercado-saludable,https://www.plazavea.com.pe/aguaje-dinoa-capsulas-100-100655124/p,42.0
11277013,Set x2 Biberones Dr Browns WB52015 Boca Ancha 5 oz Elefantes,DR BROWNS,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/set-x2-biberones-dr-browns-wb52015-boca-ancha-5-oz-elefantes-100919966/p,89.9
10921069,Life Protection Nutrición y Regeneración de las Células,UP GLOBAL COMPANY Y BIOLIFFE,https://www.plazavea.com.pe/mercado-saludable,https://www.plazavea.com.pe/life-protection-nutricion-y-regeneracion-de-las-celulas-100668001/p,280.0
11269037,Perro Robot Mascota Interactiva Smart Control,GENÉRICO,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/perro-robot-mascota-interactiva-smart-control-100911999/p,300.0
54192,Ready To Drink (RTD) FOURLOKO Gold Lata 473ml,FOUR LOKO,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/ready-to-drink-rtd-fourloko-gold-lata-473ml/p,10.9
26183,Culantro BADIA Deshidratado Bolsa 7.1g,BADIA,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/culantro-badia-deshidratado-bolsa-71g/p,4.4
10083599,Vino Tinto SANTA JULIA Flores Negras Pinot Noir Botella 750ml,SANTA JULIA,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/vino-santa-julia-flores-negras-pinot-noir-botella-750ml/p,49.9
10957262,Herramienta de Prensado de Carne,RYBIU IMPORT,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/herramienta-de-prensado-de-carne-100702546/p,17.0
11338627,Lavavajilla Limón Max Daryza 900ml,MAX,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/lavavajilla-limon-max-daryza-900ml-100969770/p,10.5
11349229,Coche Cuna de Lujo Milan Gold Melón,BABY KITS,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/coche-cuna-de-lujo-milan-gold-melon-100980338/p,699.0
11287496,Sabanas Bajeras para Cuna set de 2 unidades Blancas,GENÉRICO,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/sabanas-bajeras-para-cuna-set-de-2-unidades-blancas-100928473/p,149.0
10767961,Desinfectante Amonio Cuaternario Daryza Concentrado Litro,DARYZA,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/desinfectante-amonio-cuaternario-daryza-concentrado-litro-100534960/p,25.5
11282005,Fenogreco Dinoa Polvo 80gr,DINOA S.A.C.,https://www.plazavea.com.pe/mercado-saludable,https://www.plazavea.com.pe/fenogreco-dinoa-polvo-80gr-100922953/p,32.0
11297854,Cepillo Y Peine Chicco Pelo Natural Rosa,CHICCO,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/cepillo-y-peine-chicco-pelo-natural-rosa-100938665/p,34.95
10207300,Toffe Peccanroll HELENA Coconut Caja 100g,HELENA,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/toffe-peccanroll-helena-coconut-caja-100g/p,16.8
11135438,Móvil TINY LOVE Tesoro del Océano,TINY LOVE,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/movil-tiny-love-tesoro-del-oceano/p,299.0
11299705,Andador y mesa activa para Bebés 2 en 1 naranja,GENÉRICO,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/andador-y-mesa-activa-para-bebes-2-en-1-naranja-100940518/p,187.0
7722,Sacagrasa SAPOLIO Naranja Gatillo 650ml,SAPOLIO,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/sacagrasa-sapolio-naranja-gatillo-650ml/p,11.9
11345948,Taper Lonchera Harry Potter,GENÉRICO,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/taper-lonchera-harry-potter-100977057/p,47.9
2477,Papas al Hilo BELL'S Bolsa 125g,BELL'S,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/piqueo-bells-papas-al-hilo-bolsa-125gr/p,5.29
10782598,Pack de Bolsas para Compras a Granel Bamboo Balance Pack de Inicio,BAMBOO BALANCE,https://www.plazavea.com.pe/limpieza,https://www.plazavea.com.pe/pack-de-bolsas-para-compras-a-granel-bamboo-balance-pack-de-inicio-100544814/p,49.0
10056871,Vino Rosé VIÑA ORIA Tempranillo Botella 750ml,VIÑA ORIA,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/vino-rosado-vina-oria-tempranillo-botella-750ml/p,19.9
10498341,Colado de Pera GAGA Frasco 113g,GAGA,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/colado-de-pera-gaga-frasco-113g/p,3.4
