id,brand,uri,name,price,category
969417,Cuisine & Co,https://www.metro.pe/vainitas-picadas-cuisine-co-500g-965063/p,Vainitas Picadas Cuisine & Co 500g,9.9,https://www.metro.pe/frutas-y-verduras/verduras/verduras-preparadas-y-picadas
977075,Schilcayo,https://www.metro.pe/mondongo-cau-cau-schilcayo-1kg-2/p,Mondongo Cau Cau Schilcayo 1kg,16.9,https://www.metro.pe/carnes-aves-y-pescados/res-y-otras-carnes/menudencias
551642,Breyers,https://www.metro.pe/helado-mint-chocolate-chip-breyers-pote-48-oz/p,HELADO MINT CHOCOLATE X48OZ BREYERS,36.9,https://www.metro.pe/congelados/helados/helados-importados
969510,Laive,https://www.metro.pe/queso-preparado-cheddar-laive-8-tajadas-2/p,Queso Preparado Cheddar Laive 8 tajadas,8.9,https://www.metro.pe/lacteos/la-queseria/quesos-semiblandos
962226,Frugos,https://www.metro.pe/bebida-frugos-del-valle-fresh-manzana-botella-500ml-956883001/p,Bebida Frugos del Valle Fresh Manzana Botella 500ml,1.6,https://www.metro.pe/aguas-y-bebidas/jugos-y-otras-bebidas/otras-bebidas
977222,Centenario,https://www.metro.pe/bebida-ready-to-drink-three-birds-rasberry-lata-355ml-975132/p,Bebida Ready to Drink Three Birds Rasberry Lata 355ml,14.9,https://www.metro.pe/cervezas-vinos-y-licores/licores/complementos-para-licores
1032568,Papi Ricas,https://www.metro.pe/papas-papi-ricas-picante-70g-993199002/p,Papas Papi Ricas Picante 70g,4.3,https://www.metro.pe/abarrotes/galletas-snacks-y-golosinas/piqueos
574568,Mr. Ajo,https://www.metro.pe/ajo-picado-mr-ajo-bandeja-150-g/p,Ajo Picado Mr. Ajo Bandeja 150 g,8.29,https://www.metro.pe/frutas-y-verduras/verduras/verduras-preparadas-y-picadas
8508,Gloria,https://www.metro.pe/tripack-leche-parcialmente-descremada-gloria-light-caja-1l-363768/p,Tripack Leche Parcialmente Descremada Gloria Light Caja 1L,17.1,https://www.metro.pe/lacteos/leches/leches-frescas-y-uht
1590,De la Casa,https://www.metro.pe/mondongo-picado-para-cau-cau-x-kg-13259/p,Mondongo Picado para Cau Cau x kg,16.9,https://www.metro.pe/carnes-aves-y-pescados/res-y-otras-carnes/menudencias
3847,Genérico,https://www.metro.pe/filete-de-pechuga-de-pollo-x-kg-227882-2/p,Filete de Pechuga de Pollo x kg,25.4,https://www.metro.pe/carnes-aves-y-pescados/aves-y-huevos/cortes-de-pollo
8287,Universal,https://www.metro.pe/gelatina-diet-universal-naranja-caja-19-g-70841003/p,Gelatina Diet Universal Naranja Caja 19 g,3.6,https://www.metro.pe/abarrotes/reposteria/gelatinas-y-mazamorras
13788,Sublime,https://www.metro.pe/chocolate-con-leche-con-almendras-sublime-tableta-50-g-428553/p,Chocolate con Leche con Almendras Sublime Tableta 50 g,2.99,https://www.metro.pe/abarrotes/chocolateria/chocolates-de-leche
57095,Cuisine & Co,https://www.metro.pe/keke-de-vainilla-rectangular-758501/p,Keke de Vainilla Rectangular,10.9,https://www.metro.pe/panaderia-y-pasteleria/pasteleria/chifones-y-kekes
5452,Laive,https://www.metro.pe/yogurt-bebible-sabor-fresa-laive-18kg-166570002/p,Yogurt Bebible Sabor Fresa Laive 1.8kg,11.9,https://www.metro.pe/lacteos/yogures/yogurt-bebible
974999,Cuisine & Co,https://www.metro.pe/pan-con-pasas-y-pecanas-cuisine-co-2un-968641-2/p,Pan con Pasas y Pecanas Cuisine & Co 2un,15.99,https://www.metro.pe/congelados/masas-y-bocaditos/panes-congelados
1022705,Decanto,https://www.metro.pe/pisco-puro-italia-decanto-botella-750ml/p,Pisco Puro Italia Decanto Botella 750ml,30.9,https://www.metro.pe/cervezas-vinos-y-licores/licores/pisco
976714,La Hechicera,https://www.metro.pe/ron-la-hechicera-botella-700ml/p,Ron La Hechicera Botella 700ml,249.9,https://www.metro.pe/cervezas-vinos-y-licores/licores/ron
1017240,Party Box,https://www.metro.pe/party-box-maracuya/p,Party Box Maracuya,36.9,https://www.metro.pe/cervezas-vinos-y-licores/licores/cockteles-y-combinados
604,Incasur,https://www.metro.pe/quinua-perlada-superior-incasur-bolsa-250-gr/p,Quinua Perlada Superior Incasur Bolsa 250 gr,8.8,https://www.metro.pe/abarrotes/menestras/lentejas-pallares-y-garbanzos
35806,Metro,https://www.metro.pe/arroz-extra-metro-750g/p,Arroz Extra Metro 750g,3.8,https://www.metro.pe/abarrotes/arroz/arroz-extra-y-superior
940831,Cuisine & Co,https://www.metro.pe/mermelada-de-fresa-doypack-800-g/p,Mermelada de Fresa Doypack 800 g,10.5,https://www.metro.pe/desayuno/mermeladas-y-mieles/mermeladas-empacadas
28212,Nestlé,https://www.metro.pe/helado-de-crema-besos-de-moza-cl-sico-900ml-247708006/p,Helado de Crema Besos de Moza Clásico 900ml,20.9,https://www.metro.pe/congelados/helados/helados-importados
936639,Donofrio,https://www.metro.pe/helado-en-cono-frio-rico-vainilla-choco-chips-4un-889219/p,Helado en Cono Frio Rico Vainilla Choco Chips 4un,20.9,https://www.metro.pe/congelados/helados/helados-importados
935880,Red Bull,https://www.metro.pe/bebida-energizante-red-bull-tropical-pack-de-4-latas-de-250-ml-c-u-920934/p,Bebida Energizante Red Bull Tropical Pack de 4 Latas de 250 ml c/u,28.5,https://www.metro.pe/aguas-y-bebidas/bebidas-regeneradoras/energizantes
950603,Frugos,https://www.metro.pe/bebida-frugos-del-valle-fresh-citrus-botella-3l-950283/p,Bebida Frugos del Valle Fresh Citrus Botella 3L,6.6,https://www.metro.pe/aguas-y-bebidas/jugos-y-otras-bebidas/otras-bebidas
