sku,name,brand,category,uri,price
10056809,Tinte para Cabello GREEN CODE 4.22 Castaño Oscuro Violeta Intenso Caja 1un,GREEN CODE,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/tinte-para-cabello-green-code-4-22-castano-oscuro-violeta-intenso-caja-1un/p,27.0
10053567,Agua SAN LUIS sin Gas Botella 1L Six Pack,SAN LUIS,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/agua-san-luis-sin-gas-botella-1l-six-pack/p,10.5
11401609,Leche sin Lactosa LAIVE Sabor a Chocolate Caja 180ml Paquete 6un,LAIVE,https://www.plazavea.com.pe/lacteos-y-huevos,https://www.plazavea.com.pe/leche-sin-lactosa-laive-sabor-a-chocolate-caja-180ml-paquete-6un/p,10.2
25122,Desodorante para mujer en Aerosol para Mujer DOVE Dermo Aclarant Frasco 90ml Paquete 2un,DOVE,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/desodorante-en-aerosol-para-mujer-dove-dermo-aclarant-frasco-90ml-paquete-2un/p,26.9
10614799,Pancake Mix Choco HUNGRY JACK Caja 794g,HUNGRY JACK,https://www.plazavea.com.pe/panaderia-y-pasteleria,https://www.plazavea.com.pe/pancake-mix-choco-hungry-jack-caja-794g/p,21.9
10761914,Yogurt Batido GLORIA Griego Sabor Mango Vaso 120g,GLORIA,https://www.plazavea.com.pe/lacteos-y-huevos,https://www.plazavea.com.pe/yogurt-batido-gloria-griego-sabor-mango-vaso-120g/p,2.2
4960,Ginger Ale SCHWEPPES Botella 500ml,SCHWEPPES,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/gaseosa-schweppes-ginger-ale-botella-500ml/p,2.8
10933735,Pack Jamonada con Pollo SUIZA Paquete 400g,LAIVE,https://www.plazavea.com.pe/quesos-y-fiambres,https://www.plazavea.com.pe/pack-jamonada-con-pollo-suiza-paquete-400g/p,9.8
10173975,Shake Mocaccino UHT GLORIA Botella 320ml,GLORIA,https://www.plazavea.com.pe/lacteos-y-huevos,https://www.plazavea.com.pe/shake-mocaccino-uht-gloria-botella-320ml/p,3.5
10215195,Piqueos VILLA NATURA Cocktail con Nueces Pote 200g,VILLA NATURA,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/piqueos-villa-natura-cocktail-con-nueces-pote-200g/p,10.5
26871,Bombones ARCOR Corazón Caja 105g,ARCOR,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/bombones-arcor-corazon-caja-105g/p,12.9
13330,Plátano Palillo,PLAZA VEA,https://www.plazavea.com.pe/frutas-y-verduras,https://www.plazavea.com.pe/platano-palillo/p,5.99
10018047,Fideos Canuto Rayado SAN JORGE Bolsa 250g,SAN JORGE,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/fideos-canuto-rayado-san-jorge-bolsa-250g/p,1.7
11033413,Chile Casero HERDEZ Frasco 453g,HERDEZ,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/chile-casero-herdez-frasco-453g/p,14.9
11663367,Chocolate FEASTABLES Milk Crunch Paquete 60g,FEASTABLES,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/chocolate-feastables-milk-crunch-paquete-60g/p,14.9
5322,Yogurt TIGO Mix Bolitas de Chocolate Vaso 125g,TIGO,https://www.plazavea.com.pe/lacteos-y-huevos,https://www.plazavea.com.pe/yogurt-tigo-mix-vainilla-con-hojuelas-vaso-125g/p,2.9
16699,Cereal VITAPLUS Arrocito con miel Bolsa 25Gr,VITA PLUSS,https://www.plazavea.com.pe/desayunos,https://www.plazavea.com.pe/cereal-vitaplus-arrocito-con-miel-bolsa-25gr/p,0.8
10715172,Galletas de Cacao COSTA Gran Cereal Paquete 6un,COSTA,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/galletas-de-cacao-costa-gran-cereal-paquete-6un/p,4.2
10330646,Loción Corporal Eucerin Baby - Frasco 400 ML,EUCERIN,https://www.plazavea.com.pe/bebe-e-infantil,https://www.plazavea.com.pe/locion-corporal-eucerin-baby-frasco-400-ml-100208331/p,107.9
3022,Té Canela y Clavo MC COLIN'S Caja 25un,MC COLIN'S,https://www.plazavea.com.pe/desayunos,https://www.plazavea.com.pe/te-canela-y-clavo-mc-colins-caja-25un/p,4.2
76370,Piqueo VILLA NATURA Cocktail de Nueces Bolsa 80g,VILLA NATURA,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/piqueo-villa-natura-cocktail-de-nueces-bolsa-80g/p,5.5
42803,Enjuague Bucal LISTERINE Zero Menta Suave Control Cálculo y Sarro Frasco 500ml,LISTERINE,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/enjuague-bucal-listerine-zero-menta-suave-control-calculo-y-sarro-frasco-500ml/p,26.9
11820576,Shampoo Tinte Negro 1N con Keratina 25mlx10 en Sachets Musa 3 und,GENÉRICO,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/shampoo-tinte-negro-1n-con-keratina-25mlx10-en-sachets-musa-3-und-101444529/p,135.0
