sku,name,brand,category,uri,price
10709463,Croquetas Langostino Ajillo HIBERO 240g Bolsa 8un,HIBERO,https://www.plazavea.com.pe/pollo-rostizado-y-comidas-preparadas,https://www.plazavea.com.pe/croquetas-langostino-ajillo-hibero-240g-bolsa-8un/p,7.9
10619282,Agua sin Gas SAN LUIS Botella 750ml Paquete 6un,SAN LUIS,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/agua-sin-gas-san-luis-botella-750ml-paquete-6un/p,7.2
11238918,Cabezales de Repuestos ORAL-B Precision Clean Caja 4un,ORAL-B,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/cabezales-de-repuestos-oralb-precision-clean-caja-4un/p,54.9
11868,Deocolonia en Aerosol para Hombre AXE Apollo Frasco 150ml,AXE,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/deocolonia-para-hombre-axe-apollo-frasco-150ml/p,14.9
11315310,Tiras Reactivas Accu Chek Instant  Caja 50 Unidades,ACCU-CHEK,https://www.plazavea.com.pe/cuidado-personal-y-salud,https://www.plazavea.com.pe/tiras-reactivas-accu-chek-instant-caja-50-unidades-100956131/p,89.9
1857,Caramelos JELLY BELLY Sfree Sours Bolsa 80g,JELLY,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/caramelos-jelly-belly-sfree-sours-bolsa-80g/p,10.6
10277218,Filetes de Pollo Vegetariano GARDEIN Doypack 285g,GARDEIN,https://www.plazavea.com.pe/carnes-aves-y-pescados,https://www.plazavea.com.pe/filetes-de-pollo-vegetariano-gardein-doypack-285g/p,39.9
90446,Colita Cuadril LA COLONIa x kg,LA COLONIA,https://www.plazavea.com.pe/carnes-aves-y-pescados,https://www.plazavea.com.pe/colita-cuadril-la-colonia-x-kg/p,48.9
30857,Gaseosa INCA KOLA Sabor Original Botella 3L + Pack Gaseosa COCA COLA Sabor Original Botella 3L,INCA KOLA,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/gaseosa-inca-kola-coca-cola-botella-3l-paquete-3un/p,27.9
24845,Cerveza CANDELARIA Premium Lager Botella 330ml,CANDELARIA,https://www.plazavea.com.pe/bebidas,https://www.plazavea.com.pe/cerveza-candelaria-premium-lager-botella-330ml/p,7.5
11009082,Pack Aceite Vegetal PRIMOR Clásico Botella 900ml x 2un,PRIMOR,https://www.plazavea.com.pe/abarrotes,https://www.plazavea.com.pe/pack-aceite-vegetal-primor-clasico-botella-900ml-x-2un/p,17.0
3326,Mermelada GLORIA Fresa Pote 320g,GLORIA,https://www.plazavea.com.pe/desayunos,https://www.plazavea.com.pe/mermelada-gloria-fresa-taper-340gr/p,6.7
